Keyword,Frequency
surveyed,6
wider,6
identical,6
evident,6
mexico,6
slowly,6
mid,6
guarantee,6
cointegrating,6
exerts,6
hydrocarbon,6
ever,6
billion,6
nurse,6
profile,6
resident,6
download,6
forced,6
weather,6
unable,6
trigger,6
constantly,6
similarly,6
counterfactual,6
keynes,6
meat,6
establishing,6
refers,6
mids,6
closer,6
fundamentally,6
engineering,6
expertise,6
helpful,6
worse,6
simulate,6
expectancy,6
greatly,6
friedman’s,6
inflate,6
setter,6
greatest,6
freedom,6
ile,6
world’s,6
vietnam,6
accepted,6
shortselling,6
introducing,6
extract,6
treebased,6
shapley,6
regulator,6
lanka,6
slowdown,6
calvo,6
utilization,6
board,6
span,6
quickly,6
policymaker,6
unconventional,6
interestingly,6
moderate,6
conservatism,6
fiat,6
basket,6
rural,6
rice,6
extends,6
operational,6
turned,6
fluctuating,6
pp,6
specifying,6
knowing,6
historically,6
assigned,6
motivation,6
gated,5
sub,5
del,5
p,5
descriptive,5
curvature,5
politician,5
hedging,5
vol,5
escape,5
offset,5
inflr,5
crosssection,5
matching,5
fcp,5
replace,5
derivative,5
superiority,5
fertility,5
written,5
collaboration,5
optimistic,5
usual,5
efficacy,5
device,5
islamic,5
inflaton,5
sma,5
electoral,5
conducive,5
microeconomic,5
radial,5
emd,5
popularity,5
classifier,5
tort,5
measuring,5
cashinadvance,5
exposed,5
penalty,5
illustrates,5
participating,5
thing,5
healthy,5
ongoing,5
projected,5
balassa–samuelson,5
dummy,5
accord,5
ignored,5
gallup,5
interdependency,5
beef,5
chance,5
irrespective,5
winning,5
inflationadjusted,5
recovered,5
lithuanian,5
displayed,5
heteroscedastic,5
greece,5
penetration,5
nk,5
suffer,5
distinction,5
forum,5
brief,5
summarizes,5
subscriber,5
perfectly,5
finland,5
stickyprice,5
corrected,5
stay,5
converge,5
forming,5
lithuania,5
rejection,5
liability,5
legal,5
host,5
examination,5
graphical,5
ontological,5
collect,5
environmental,5
easing,5
switch,5
documented,5
newsbased,5
coherence,5
negligible,5
time‐series,5
ultimate,5
unrest,5
monitor,5
geographic,5
expense,5
intelligent,5
habit,5
middle,5
absenteeism,5
contact,5
cooperation,5
gam,5
infer,5
inputoutput,5
disposable,5
jcurve,5
aftermath,5
mixedfrequency,5
sequence,5
selecting,5
forecasters’,5
coordinated,5
revisits,5
seeker,5
replicate,5
misspecified,5
forni,5
responds,5
retained,5
sizable,5
euroarea,5
𝑧,5
wwwnberorg,5
afford,5
expressed,5
office,5
fare,5
failed,5
mtr,5
arbitrary,5
aiming,5
frictionless,5
person,5
replicates,5
strengthen,5
heteroskedasticity,5
gilt,5
nonafrican,5
uncovered,5
profitable,5
unrestricted,5
tehran,5
gwr,5
satisfied,5
fair,5
asked,5
physical,5
ssdi,5
gasoline,5
bok,5
hicp,5
aggregated,5
optimum,5
testable,5
validate,5
dlstm,5
brought,5
desired,5
continuously,5
inspired,5
merit,5
agents’,5
consumers’,5
certainly,5
taux,5
dinflation,5
entre,5
déquilibre,5
apparently,5
democracy,5
neuron,5
altering,5
mathematical,5
rpv,5
band,5
uganda,5
vice,5
versa,5
multistep,5
workhorse,5
mandate,5
distinguish,5
jordan,5
colombia,5
wave,5
agree,5
occurring,5
lens,5
coincide,5
indirectly,5
corporation,5
auto,5
equivalent,5
web,5
stated,5
simplicity,5
zeroinflation,5
young,5
fourth,5
grey,5
ipo,5
qq,5
express,5
kfold,5
contributing,5
noarbitrage,5
ask,5
matched,5
lowinflation,5
margin,5
usdcny,5
puzzling,5
reducedform,5
longerterm,5
bps,5
q–q,5
budgeting,5
stakeholder,5
mood,5
emotion,5
fitted,5
liquid,5
regardless,5
centralized,5
cautious,5
ppp,5
pac,5
emerged,5
skewed,5
getting,5
medicine,5
restoration,5
logit,5
decide,5
administrative,5
mild,5
temporal,5
hypothesize,5
actor,5
requiring,5
capability,5
attracted,5
coupled,5
shortage,5
rigorous,5
fixedhorizon,5
beat,5
bert,5
remarkably,5
mundellfleming,5
lost,5
strike,5
immediate,5
dollareuro,5
inflationindexed,5
exceeding,5
easier,5
ppi,5
fr,5
radical,5
neighbor,5
collateral,5
hope,5
unobservable,5
msc,5
tradable,5
interact,5
stagflation,5
correlate,5
highlighting,5
plot,5
satisfy,5
normality,5
mobility,5
dow,5
win,5
hypothetical,5
federation,5
correlationregression,5
emergence,5
cheap,5
recommended,5
undertaken,5
reaching,5
stickiness,5
invariant,5
supplyside,5
nearterm,5
confirmed,5
nonstandard,5
country‐specific,5
nigerian,5
ago,5
periodicity,5
promotion,5
hike,5
released,5
pa,5
scanner,5
save,5
msep,5
smallest,5
simulationbased,5
riksbank,5
short‐run,5
downturn,5
finite‐sample,5
bi,5
reject,5
division,5
english,5
milton,5
prevent,5
connection,5
virtually,5
recognized,5
assumes,5
carefully,5
precautionary,5
pessimism,5
para,5
compute,5
behavioural,5
copula,5
indication,5
johansen,5
straightforward,5
survey‐based,5
miscible,5
capturing,5
transform,5
prolonged,5
upper,5
ended,5
résultats,5
est,5
au,5
eth,5
datarich,5
functional,5
proximity,5
ignoring,5
stateoftheart,5
ruling,5
complement,5
costpush,5
out‐of‐sample,5
trimmed,5
informative,5
engage,5
fix,5
pursuing,5
dengesiz,5
pursue,5
macrofinance,5
minister,5
rebate,5
understood,5
java,5
unless,5
staff,5
wood,5
revisit,5
chicken,5
achieves,5
tracking,5
weakness,5
severity,5
foresight,5
prime,5
responding,4
propensity,4
prevalent,4
wish,4
inflationrelated,4
surprising,4
twofold,4
electronic,4
verbal,4
riskfree,4
supplier,4
exerted,4
tackle,4
progressively,4
sdr,4
accessible,4
offering,4
ai,4
knearest,4
cape,4
collective,4
mutually,4
street,4
buffer,4
walrasian,4
adapted,4
completed,4
knot,4
precious,4
observer,4
sold,4
stance,4
cigarette,4
grows,4
receiver,4
rnn,4
inherent,4
reservoir,4
eliminate,4
mediumscale,4
adaptation,4
ecb’s,4
priori,4
nipo,4
usdx,4
bank’s,4
received,4
restaurant,4
stored,4
rd,4
expand,4
pooling,4
issued,4
indebted,4
rare,4
modelimplied,4
elastic,4
wall,4
jii,4
contemporaneous,4
nardl,4
m,4
gra,4
switzerland,4
differenced,4
politics,4
netherlands,4
horserace,4
judgmental,4
mainstream,4
simplified,4
oneforone,4
conflicting,4
catching,4
anomaly,4
minskys,4
neuro,4
encourage,4
unprecedented,4
compelling,4
going,4
willing,4
mixture,4
chose,4
enable,4
extracting,4
excommunist,4
cited,4
cross‐country,4
enhanced,4
happiness,4
financially,4
diffusion,4
warranted,4
outturn,4
drift,4
rose,4
comprising,4
uncover,4
couple,4
discretionary,4
clarify,4
distorted,4
worked,4
firmspecific,4
protectionism,4
trying,4
anchored,4
chronic,4
seasonality,4
character,4
bpl,4
automatically,4
systematically,4
client,4
western,4
graduate,4
picture,4
econ,4
onwards,4
tot,4
continues,4
super,4
ample,4
partner,4
educational,4
nz,4
excise,4
blog,4
eemd,4
fa,4
gertler,4
wedge,4
protectionist,4
policymaking,4
minimizing,4
ruble,4
ambiguous,4
noted,4
newkeynesian,4
geopolitical,4
differs,4
premier,4
announcing,4
bounded,4
video,4
sport,4
lstmrnn,4
dramatically,4
staffing,4
biggest,4
observable,4
evidenced,4
atesoglu,4
neutral,4
diamond,4
serial,4
presenting,4
silver,4
differently,4
neutrality,4
optimally,4
census,4
featuring,4
industrialized,4
sell,4
inflated,4
inclusive,4
presumption,4
occasionally,4
idx,4
priceearnings,4
adversely,4
distance,4
progressivity,4
campbell,4
statedependent,4
front,4
hinge,4
unified,4
mark‐ups,4
noembvar,4
recursively,4
vnindex,4
nongaussian,4
semiconductor,4
preferable,4
hrnn,4
overreaction,4
annum,4
periodic,4
african,4
henry,4
hub,4
multicountry,4
specialization,4
methodological,4
traditionally,4
bargain,4
hunter,4
precios,4
gave,4
realworld,4
poorly,4
microfounded,4
fewer,4
neoclassical,4
orthogonal,4
wpi,4
eighty,4
interrelationship,4
autonomy,4
peso,4
entropy,4
poi,4
curb,4
diagnostic,4
entitled,4
swarm,4
appraiser,4
disrupt,4
overestimate,4
implicitly,4
tended,4
inflación,4
climatic,4
thesis,4
abnormal,4
filtered,4
issuer,4
aa,4
underreaction,4
fluctuated,4
remarkable,4
sparse,4
spca,4
observing,4
diversified,4
shaping,4
broader,4
prevents,4
acquired,4
attractive,4
emphasizes,4
alone,4
cnb,4
specialized,4
citizen,4
okun’s,4
unlikely,4
philip,4
marketoriented,4
subsamples,4
inappropriate,4
stand,4
decomposes,4
gordon,4
encompass,4
alongside,4
twitter,4
addressed,4
msfebest,4
favourable,4
pool’s,4
“best,4
emu‐,4
grid,4
extrapolation,4
hce,4
irving,4
famous,4
twostage,4
climate,4
xgboost,4
readiness,4
equilibrium”,4
drawback,4
speaking,4
firm’s,4
sectorspecific,4
individuals’,4
dealing,4
immigration,4
medicaid,4
procurement,4
hall,4
creditor,4
announced,4
basically,4
pfe,4
reflection,4
macroeconomist,4
restricted,4
legislator,4
arch,4
involve,4
respective,4
irrational,4
exploring,4
unpredictable,4
humpshaped,4
public’s,4
separation,4
comprised,4
longest,4
left‐wing,4
exacerbated,4
stabilizes,4
attempted,4
round,4
possess,4
unchanged,4
trillion,4
w,4
right‐wing,4
indepth,4
erpt,4
reasoning,4
annually,4
begun,4
studying,4
chaotic,4
theorem,4
fifteen,4
crop,4
unrecorded,4
outline,4
willingness,4
sequentially,4
conversely,4
experts’,4
huge,4
withdrawal,4
bic,4
hp,4
cochrane,4
correcting,4
governmental,4
came,4
code,4
historic,4
endogenously,4
bringing,4
assuming,4
formulating,4
fourier,4
lend,4
fixing,4
joining,4
staggered,4
relies,4
restrict,4
motive,4
participation,4
shareholder,4
cbc’s,4
remove,4
coupon,4
afsi,4
culture,4
dispersed,4
antiinflation,4
shopping,4
crossvalidation,4
supportive,4
portugal,4
guideline,4
enlargement,4
accelerator,4
analytically,4
mmt,4
asymptotics,4
malaysia’s,4
inertia,4
marketing,4
randomwalk,4
nonfinancial,4
relativeprice,4
render,4
aforementioned,4
underpredictions,4
±,4
winter,4
realize,4
divide,4
contemporary,4
adopt,4
eksik,4
limitationsimplications,4
ignore,4
exceeds,4
oscillating,4
lose,4
precondition,4
depth,4
applicable,4
procyclical,4
burden,4
reliance,4
unemployed,4
stationarity,4
looked,4
individually,4
beta,4
referred,4
nairu,4
nobel,4
describing,4
framed,4
argentine,4
generic,4
attribute,4
pwc,4
entrepreneur,4
covered,4
plateau,4
li,4
engaged,4
calendar,4
theoretic,4
assume,4
logarithm,4
factorial,4
opec,4
deterioration,4
expensive,4
monopolistic,4
decomposing,4
uc,4
austrian,4
status,4
crime,4
motor,4
pricelevel,4
characterization,4
nonstationary,4
cross‐sectional,4
smes,4
fragile,4
twenty,4
progressive,4
fx,4
disinflationary,4
quantified,4
worst,4
twostep,4
uma,4
strategist,4
regularly,4
deviate,4
dfm,4
senate,4
reit,4
adequacy,4
presentation,4
halo,4
stochasticity,4
employmentbased,4
leave,4
diebold,4
trendcycle,4
distributional,4
actually,4
susceptible,4
language,4
inflationoutput,4
quantilespecific,4
people’s,4
parallel,4
slug,4
object,4
lippi,4
incremental,4
fredmd,4
resolve,4
iraq,4
cfpi,4
peer,4
mftvpsvvar,4
pour,4
conceptual,4
ethereum,4
entered,4
cement,4
chilies,4
notable,4
pacific,4
shear,4
undermined,4
radiation,4
niveau,4
york,4
slight,4
egg,4
primordial,4
unaffected,4
debttogdp,4
creator,3
ministry,3
reviewed,3
shifted,3
hurricane,3
moneybased,3
calculate,3
linearized,3
cooperative,3
scholar,3
map,3
promise,3
causally,3
payroll,3
returnpredicting,3
cieslakpovala,3
sur,3
real‐time,3
forcing,3
individual’s,3
constitute,3
produit,3
utilise,3
locally,3
long‐term,3
ricardian,3
kfp,3
permit,3
obscure,3
velocity,3
screening,3
chip,3
heavytailed,3
simplistic,3
transformed,3
trial,3
spanning,3
populist,3
rwao,3
oranı,3
atama,3
medical,3
mwr,3
xi,3
exclude,3
predominant,3
abandoned,3
overfitting,3
successive,3
pursuit,3
taiwan,3
cancer,3
lumpsum,3
deteriorates,3
increment,3
biannual,3
passed,3
communicate,3
outlined,3
sterling,3
pound,3
exporter,3
witnessed,3
weakening,3
pass‐through,3
replacing,3
adopting,3
com,3
stressed,3
comprehensively,3
bring,3
nexus,3
asymmetrically,3
crosscalibration,3
mp,3
uw,3
debated,3
swanson,3
sv,3
loosened,3
consumed,3
standardized,3
originated,3
conjointly,3
lifetime,3
older,3
focal,3
originality,3
intermediation,3
dengeli,3
unsustainable,3
prize,3
tendência,3
winner,3
synchronization,3
coordination,3
mechanical,3
neglected,3
econometrica,3
hongkong,3
e‐sector,3
contradicts,3
jub,3
sahip,3
removing,3
subperiods,3
adjusts,3
dual,3
bvc,3
repeated,3
confronted,3
accelerates,3
hayek,3
gone,3
acute,3
worsens,3
wti,3
tfp,3
shadowrate,3
cornerstone,3
işsizlik,3
comment,3
inadequately,3
perturbation,3
tachyonic,3
deregulation,3
inaccurate,3
policymaker’s,3
title,3
risen,3
origin,3
converging,3
unacceptable,3
george,3
unforeseen,3
tapec,3
pcr,3
volcker,3
grounded,3
meaning,3
girf,3
drastic,3
marshall,3
wicksell,3
peru,3
autocorrelation,3
compatible,3
insider,3
albeit,3
borrow,3
labormarket,3
undergone,3
bbl,3
bls,3
ccapm,3
facilitates,3
rent,3
symptom,3
anticipation,3
editorial,3
adf,3
michigan,3
priority,3
wholesale,3
promoting,3
kept,3
specially,3
stockbond,3
economists’,3
persistently,3
ukraine’s,3
spent,3
ugc,3
anything,3
placing,3
directionally,3
overpredictions,3
compound,3
handling,3
lasting,3
convincing,3
confined,3
egarch,3
acquire,3
qtm,3
hedonic,3
everything,3
intention,3
openeconomy,3
wald,3
pointed,3
acquisition,3
ird,3
analogy,3
ucsv,3
magazine,3
studentized,3
deleted,3
scientific,3
owes,3
ensures,3
data”,3
revise,3
models’,3
barro–gordon,3
dublin,3
econophysics,3
london,3
advice,3
argentina,3
italian,3
dependability,3
highquality,3
nothing,3
rigid,3
clustered,3
“big,3
gp,3
inflationtargeting,3
timevariation,3
redistribution,3
acceptable,3
dgp,3
sink,3
exclusively,3
mozambique,3
polish,3
excessively,3
closedform,3
tenure,3
civilization,3
removed,3
factoraugmented,3
lr,3
exceed,3
reconsidered,3
agentbased,3
sfcpi,3
reacts,3
opposing,3
bopd,3
tstatistic,3
ghysels,3
riksbanks,3
stateowned,3
loading,3
modelbuilding,3
recover,3
rf,3
angle,3
parameterization,3
extant,3
mismatch,3
believed,3
store,3
convey,3
traffic,3
tl,3
prospective,3
ng,3
tier,3
ww,3
summarized,3
lengthy,3
selfreported,3
modeli,3
conducting,3
ideology,3
withinside,3
menucosts,3
multidimensional,3
textual,3
abroad,3
ownership,3
tender,3
atheoretical,3
recovering,3
fifty,3
modify,3
everyone,3
desarima,3
transport,3
bliss,3
behave,3
annualized,3
piazzesi,3
deemed,3
divergent,3
supermarket,3
outlook,3
routinely,3
reproduce,3
calibrating,3
twice,3
align,3
steer,3
corroborate,3
archtype,3
sort,3
‘great,3
hour,3
refer,3
nowadays,3
scarce,3
motivate,3
promote,3
linflation,3
distinctly,3
assetpricing,3
graph,3
con,3
penalized,3
undesirable,3
accept,3
destruction,3
severely,3
worth,3
di¤usion,3
deceleration,3
fill,3
mention,3
channelling,3
solvency,3
india’s,3
cra,3
contingent,3
er,3
panama,3
operator,3
table,3
bountyhunting,3
cd,3
anli,3
reacting,3
tightened,3
‘correct’,3
generalised,3
convex,3
transportation,3
metaphorical,3
survival,3
recorded,3
bapc,3
policyinduced,3
assistance,3
inflates,3
avoids,3
greek,3
bvar,3
“target,3
baserate,3
explosive,3
rareevent,3
grew,3
neuronal,3
time‐variation,3
sticky‐information,3
went,3
hdi,3
novelty,3
twocountry,3
lécart,3
lankan,3
costless,3
svmbased,3
establishes,3
thirdly,3
coût,3
massive,3
acquiring,3
thai,3
substantiated,3
oecds,3
nonsystematic,3
essay,3
rapport,3
barro,3
capitalism,3
insolvency,3
approves,3
perceive,3
tire,3
alter,3
got,3
rationally,3
socalled,3
divergence,3
fruit,3
vegetable,3
equallyweighted,3
ica,3
predominantly,3
adequately,3
intends,3
returned,3
koyck,3
ut,3
frequencydomain,3
spectral,3
triggered,3
korea,3
underestimation,3
configuration,3
efm,3
microlevel,3
lehman,3
protection,3
sea,3
interrelated,3
labeled,3
recommends,3
pso,3
metaheuristic,3
hanson,3
solved,3
noem,3
press,3
enhancement,3
lift,3
twosided,3
inside,3
panelist,3
gstari,3
uk’s,3
mortality,3
elicit,3
ra‐ts,3
inevitable,3
excellent,3
numerically,3
etvc,3
logarithmic,3
justify,3
índice,3
reputational,3
discretion,3
psosvm,3
gfc,3
endowment,3
overturned,3
synthesis,3
msfe,3
automobile,3
conditioning,3
roughly,3
shorthorizon,3
schwert,3
covenant,3
approaching,3
week,3
returning,3
cap,3
hierarchy,3
attract,3
incorrect,3
fiveyear,3
readily,3
postcrisis,3
threat,3
encouraging,3
russia’s,3
attached,3
stabilizing,3
restore,3
kse,3
postbretton,3
bilateral,3
tight,3
fifth,3
undertake,3
prevented,3
combat,3
consume,3
outbreak,3
disabled,3
exchangerate,3
cras,3
entrant,3
impaired,3
inadequate,3
homogeneous,3
generalize,3
nairobi,3
ranking,3
t,3
economical,3
arises,3
incometax,3
st,3
passive,3
disentangle,3
chronicinflation,3
noem‐bvar,3
conditionally,3
entitlement,3
idr,3
additive,3
differentiated,3
nongaussianity,3
exacerbates,3
breakeven,3
dominance,3
eliciting,3
emerges,3
slump,3
suggestion,3
peace,3
rudd,3
border,3
tiempo,3
dramatic,3
mispricing,3
nn,3
unethical,3
prescribed,3
notwithstanding,3
psychology,3
disparity,3
yen,3
possesses,3
deter,3
underestimate,3
wallace,3
attribution,3
tangible,3
incomehousehold,3
nonrounded,3
reader,3
diagnosed,3
inception,3
pesaran,3
timmermann,3
progress,3
mimeo,3
tse,3
modelled,3
indexlinked,3
inward,3
psei,3
diverge,3
binding,3
zerolowerbound,3
seriously,3
proceeding,3
trimmedmean,3
derivation,3
repo,3
pricefuel,3
ra,3
centralization,3
portion,3
prevailing,3
fintech,3
mapping,3
minimized,3
smets,3
likewise,3
poverty,3
seemed,3
mobile,3
multiperiod,3
bandwidth,3
disappear,3
counterintuitive,3
attained,3
undervalued,3
facilitate,3
whelan,3
firstdifference,3
normalized,3
agent’s,3
analogous,3
unification,3
fullinformation,3
concavity,3
heavy,3
modifying,3
lawyer,3
devoted,3
exposure,3
expands,3
ingredient,3
highinflation,3
disaggregates,3
handled,3
msvar,3
erratic,3
stuck,3
losing,3
latest,3
arimaanfis,3
high‐inflation,3
sender,3
salient,3
entail,3
college,3
inversely,3
scarcity,3
mimic,3
selffulfilling,3
engages,3
wouters,3
prudence,3
hmm,3
singapore’s,3
serbia,3
feed,3
flexibleprice,3
adaptivenaïve,3
tradition,3
hallin,3
essentially,3
hourly,3
programme,3
ordered,3
holder,3
theory”,3
implementable,3
diverged,3
allocating,3
achievement,3
mcmc,3
audience,3
interpretability,3
establishment,3
thereafter,3
rpi,3
overdispersion,3
contributor,3
distortionary,3
doubled,3
inconspicuously,3
misalignment,3
indeterminacy,3
theils,3
desire,3
gali,3
exploiting,3
“the,3
exploration,3
seeking,3
redistributive,3
brain,3
prefer,3
posited,3
minsky,3
striving,3
cb,3
sbe,3
geometric,3
derives,3
informational,3
non,3
integrate,3
guided,3
turbulence,3
relaxation,3
breakdown,3
swiss,3
deterministic,3
piecewise,3
specify,3
engineer,3
uninformed,3
averse,3
bpn,3
twin,3
livingston,3
tending,3
anchor,3
ir,3
convenient,3
strongest,3
lacking,3
smart,3
termed,3
colgate,3
palmolive,3
somc,3
subsidy,3
encouraged,3
interpretable,3
famas,3
machinelearning,3
mine,3
profession,3
synthetic,3
visàvis,3
naturalrate,3
overshooting,3
onesided,3
erbs,3
department,3
relied,3
stimulated,3
appeal,3
complementary,3
aggregator,3
wild,3
bvars,3
advent,3
coincident,3
shiller,3
arena,3
attracting,3
infection,3
keep,3
doubt,3
inelastic,3
story,3
adopts,3
mariano,3
rwmses,3
unexpectedly,3
shorterterm,3
asanber,3
flooding,3
diversity,3
jakarta,3
delegate,3
simulator,3
terme,3
sgd,3
bush,3
etrade,3
viability,3
experiencing,3
normalization,3
adam,3
plagued,3
reexamination,3
tipping,3
deciding,3
broadcast,3
gender,3
msme,3
wind,3
reception,2
middleincome,2
posit,2
diminish,2
shield,2
depreciate,2
multinational,2
inflationlinked,2
alleviates,2
eighteen,2
mundelltobin,2
printing,2
bitcoins,2
pvalue,2
pvalues,2
ups,2
inducing,2
crossing,2
dissipation,2
departure,2
campaign,2
stacking,2
“his,2
anna,2
encyclopedia,2
areal,2
sweep,2
areawide,2
disaggregation,2
bread,2
waveletbased,2
overseas,2
disorder,2
bandpass,2
berentsen,2
promptly,2
marginally,2
leader,2
dexchr,2
escaped,2
yearly,2
surface,2
boxjenkins,2
blr,2
brazil’s,2
drastically,2
amoco,2
externality,2
declaration,2
japan’s,2
standalone,2
contradicted,2
justification,2
supervised,2
romanian,2
meanreverting,2
lefttail,2
autonomously,2
emergency,2
coflood,2
pilot,2
streamline,2
posted,2
moderation”,2
father,2
leadership,2
crosscorrelation,2
“great,2
accomplish,2
everywhere,2
diminishing,2
denies,2
protecting,2
bsplines,2
nonetheless,2
flowperformance,2
seller,2
tradeable,2
detection,2
alert,2
ranked,2
enhances,2
universal,2
insofar,2
price‐level,2
money‐demand,2
midterm,2
sont,2
moyenne,2
prédiction,2
capebased,2
asking,2
graphically,2
northwest,2
expressing,2
dynamique,2
acknowledged,2
patch,2
dropping,2
feasible,2
l’inflation,2
approche,2
nonfarm,2
exemplified,2
postrecession,2
publish,2
modelgenerated,2
annals,2
criticized,2
onestep,2
fisherian,2
obstacle,2
initiated,2
enhancing,2
legacy,2
california,2
reconstruction,2
inspection,2
monetary–fiscal,2
directed,2
augment,2
council,2
lsq,2
ont,2
viscosité,2
tendancielle,2
problematic,2
box,2
jenkins,2
biascorrected,2
prognosis,2
nonlinearly,2
normally,2
indebtedness,2
nyse,2
fitness,2
transformer,2
uniformly,2
delayed,2
disappears,2
decay,2
synchronized,2
phillipsfisher,2
reestimate,2
tremendously,2
boosted,2
threefactor,2
smallsample,2
arguing,2
checked,2
deux,2
étapes,2
avec,2
remediation,2
rootmeansquare,2
foreseeing,2
fortyyear,2
hover,2
weakened,2
rarely,2
flexibly,2
allocate,2
converged,2
pertains,2
resolution,2
instantaneous,2
demande,2
logtransformed,2
insensitive,2
imperfection,2
something,2
fractional,2
differed,2
ecbs,2
recommendation,2
prc,2
hcpi,2
kaldorian,2
crb,2
cambridge,2
oversight,2
choc,2
brunner,2
meltzer,2
quasimacro,2
differenceindifferences,2
harmonized,2
innovative,2
safer,2
returndominated,2
nipe,2
fresh,2
harmonised,2
smallscale,2
postulate,2
reproduces,2
defied,2
float,2
recessionary,2
participate,2
ustatistic,2
proportionate,2
homogeneity,2
quantitytheory,2
one‐to‐one,2
linchpin,2
specialize,2
imperfectly,2
water,2
industrialization,2
unfavorable,2
stepbystep,2
moody’s,2
merrill,2
growthinflation,2
broke,2
longitudinal,2
hodrickprescott,2
overturn,2
confront,2
structts,2
lynch,2
impractical,2
boe,2
phrase,2
claiming,2
prohibition,2
inferred,2
fractionally,2
finnish,2
exchangeratebased,2
belgian,2
formulated,2
usdidr,2
newspaper,2
dgps,2
spirit,2
coordinate,2
tolerance,2
pointing,2
seldom,2
pennsylvania,2
nevada,2
presidency,2
trump,2
cross‐section,2
pioneered,2
rogoff,2
legislative,2
single‐period,2
non‐incremental,2
rwmse,2
cutting,2
onestepahead,2
allowance,2
unitrootbased,2
emphasizing,2
arrangement,2
nonneutrality,2
corroborated,2
rootmeansquared,2
threeequation,2
gcv,2
else,2
windfall,2
outlay,2
deflated,2
ceteris,2
paribus,2
unitary,2
𝑥,2
𝑏,2
predictly,2
can’t,2
operate,2
putting,2
rationalizes,2
goverment,2
kiii,2
revers,2
underscore,2
equivalence,2
‘temporariness’,2
emergent,2
rc,2
undercapitalization,2
performance…’,2
opening,2
vulnerability,2
camel,2
ece,2
processed,2
onto,2
fluctuate,2
yyiis,2
acceptance,2
insufficient,2
banda,2
aceh,2
attenuate,2
sigmoid,2
sulawesi,2
interdependence,2
mildly,2
pleasant,2
confirmation,2
being,2
market’s,2
parsimoniously,2
extensively,2
beir,2
mature,2
calibrate,2
trim,2
discovers,2
pessimistically,2
stamp,2
distinguishing,2
demanded,2
taming,2
outputinflation,2
maastricht,2
polymodel,2
dictate,2
crossequation,2
interpreting,2
abrupt,2
dm,2
petrodollar,2
attempting,2
oilexporting,2
protocol,2
aggregating,2
twelve,2
thoroughly,2
bpnn,2
tremendous,2
pseudoforecasts,2
firstrelease,2
yellen,2
learnt,2
corroborates,2
equality,2
swath,2
saddlepath,2
adapting,2
differing,2
correspondingly,2
irrelevant,2
webscraped,2
uninformative,2
exhibiting,2
pooled,2
euro‐area,2
locate,2
hunting,2
rnns,2
blanchard,2
comfortable,2
commerce,2
decompose,2
encompasses,2
classify,2
albania,2
classifying,2
tvd,2
tanzania,2
unnecessary,2
company’s,2
accelerating,2
russiaukraine,2
underrepresented,2
vix,2
sobre,2
postcommunist,2
coping,2
eac,2
cpiu,2
array,2
supposed,2
discourse,2
‘…,2
roley,2
protocolo,2
pasos,2
periodo,2
como,2
piece,2
tienen,2
presente,2
microfoundations,2
unanswered,2
errorcorrection,2
internationally,2
accrual,2
managerial,2
shortsale,2
ceo,2
hubbert,2
preparation,2
afforded,2
price‐based,2
semivolatilities,2
fertile,2
nearness,2
merged,2
impossible,2
distinguishes,2
peruvian,2
chooses,2
noncbdc,2
descriptor,2
minor,2
sometime,2
trilemma,2
complicating,2
omitted,2
concise,2
advantageous,2
explainable,2
encuentra,2
indicadores,2
club,2
spring,2
wale,2
facto,2
deteriorating,2
joiner,2
leaver,2
impose,2
aaa,2
tone,2
conveyed,2
dependency,2
sided,2
selects,2
predicción,2
actuarial,2
elevated,2
norm,2
synchronous,2
dlftlft,2
puede,2
componentes,2
volátiles,2
corto,2
manually,2
characterizes,2
defeat,2
augmentation,2
attentes,2
échantillon,2
dintérêt,2
equilibrium‐based,2
credittogdp,2
accumulate,2
relational,2
suitably,2
skews,2
inattentiveness,2
exacerbate,2
stabilized,2
metropolitana,2
verification,2
infinitehorizon,2
scheinkman,2
xiong,2
nonbanned,2
banned,2
prominence,2
propuestos,2
sequential,2
sixyear,2
equal‐weighted,2
diagnosis,2
bidirectional,2
consumidor,2
lima,2
injected,2
dma,2
modestly,2
telecommunication,2
pr,2
appeared,2
censored,2
bien,2
price”,2
protect,2
assigning,2
expliquer,2
différences,2
tuned,2
colombo,2
ccpi,2
imputation,2
disturb,2
smuggling,2
presentvalue,2
diagnostics,2
no‐change,2
discreteness,2
merely,2
in‐sample,2
present‐value,2
fishercondition,2
societal,2
issuing,2
defines,2
goodnessoffit,2
consecutive,2
tuning,2
overpredicted,2
running,2
paradoxical,2
adherence,2
satisfactorily,2
aca,2
tranquil,2
sampler,2
state‐space,2
advocate,2
baht,2
sectorlevel,2
striking,2
correspondence,2
whenever,2
guglielmetti,2
croce,2
ramon,2
chirwa,2
odhiambo,2
unaffordable,2
embrace,2
costcontrol,2
élevés,2
moyen,2
lin,2
gao,2
diaconescu,2
levenbergmarquardt,2
soskice,2
dallago,2
responsibility,2
locde,2
conceptually,2
revising,2
designing,2
integrates,2
righttomanage,2
financialmarket,2
soviet,2
yugoslavia,2
stylised,2
french,2
ashare,2
shipment,2
contradictory,2
alters,2
demonstration,2
riskless,2
supplied,2
uncoordinated,2
demandside,2
educated,2
kurtosis,2
breakup,2
affordable,2
supervision,2
catastrophic,2
fixedcoefficient,2
cast,2
foreigndomestic,2
card,2
